Token
"['CLASICOPrice', '2200', 'No', 'gift', 'boxFree', 'DeliveryInbox', 'Hiwe5266ስልክ', '251945355266', 'ፋሽን', 'ተራ', 'Fashion', 'Tera', 'አድራሻ', 'አዲስ', 'አበባ', 'ጦር', 'ሀይሎች', 'ድሪም', 'ታወር', '2ተኛ', 'ፎቅቢሮ', 'ቁጥር', '205']"
"['Puma', 'Made', 'in', 'Vietnam', 'Size', '404143Price', '3600Free', 'DeliveryInbox', 'Hiwe5266ስልክ', '251945355266', 'ፋሽን', 'ተራ', 'Fashion', 'Tera', 'አድራሻ', 'አዲስ', 'አበባ', 'ጦር', 'ሀይሎች', 'ድሪም', 'ታወር', '2ተኛ', 'ፎቅቢሮ', 'ቁጥር', '205']"
"['New', 'year', 'Discount', 'Inbox', 'Hiwe5266ስልክ', '251945355266', 'ፋሽን', 'ተራ', 'Fashion', 'Tera', 'አድራሻ', 'አዲስ', 'አበባ', 'ጦር', 'ሀይሎች', 'ድሪም', 'ታወር', '2ተኛ', 'ፎቅቢሮ', 'ቁጥር', '205']"
"['Skechers', 'Made', 'in', 'Vietnam', 'Size', '4243Price', '3100Free', 'DeliveryInbox', 'Hiwe5266ስልክ', '251945355266', 'ፋሽን', 'ተራ', 'Fashion', 'Tera', 'አድራሻ', 'አዲስ', 'አበባ', 'ጦር', 'ሀይሎች', 'ድሪም', 'ታወር', '2ተኛ', 'ፎቅቢሮ', 'ቁጥር', '205']"
"['Reebok', 'Made', 'in', 'Vietnam', 'Size', '404142Price', '2950Free', 'DeliveryInbox', 'Hiwe5266ስልክ', '251945355266', 'ፋሽን', 'ተራ', 'Fashion', 'Tera', 'አድራሻ', 'አዲስ', 'አበባ', 'ጦር', 'ሀይሎች', 'ድሪም', 'ታወር', '2ተኛ', 'ፎቅቢሮ', 'ቁጥር', '205']"
"['Adidas', 'Made', 'in', 'Vietnam', 'Size', '4041Price', '3400Free', 'DeliveryInbox', 'Hiwe5266ስልክ', '251945355266', 'ፋሽን', 'ተራ', 'Fashion', 'Tera', 'አድራሻ', 'አዲስ', 'አበባ', 'ጦር', 'ሀይሎች', 'ድሪም', 'ታወር', '2ተኛ', 'ፎቅቢሮ', 'ቁጥር', '205']"
"['Men', 'Jacket', 'Size', 'L', 'Xl', 'XXLPrice', '3200Inbox', 'Hiwe5266ስልክ', '251945355266', 'ፋሽን', 'ተራ', 'Fashion', 'Tera', 'አድራሻ', 'አዲስ', 'አበባ', 'ጦር', 'ሀይሎች', 'ድሪም', 'ታወር', '2ተኛ', 'ፎቅቢሮ', 'ቁጥር', '205']"
"['BalenciagaMade', 'in', 'Vietnam', 'Size', '3637383940Price', '2900Free', 'DeliveryInbox', 'Hiwe5266ስልክ', '251945355266', 'ፋሽን', 'ተራ', 'Fashion', 'Tera', 'አድራሻ', 'አዲስ', 'አበባ', 'ጦር', 'ሀይሎች', 'ድሪም', 'ታወር', '2ተኛ', 'ፎቅቢሮ', 'ቁጥር', '205']"
"['Fashion', 'Shose', 'Size', '4041Price', '3200Free', 'DeliveryInbox', 'Hiwe5266ስልክ', '251945355266', 'ፋሽን', 'ተራ', 'Fashion', 'Tera', 'አድራሻ', 'አዲስ', 'አበባ', 'ጦር', 'ሀይሎች', 'ድሪም', 'ታወር', '2ተኛ', 'ፎቅቢሮ', 'ቁጥር', '205']"
"['CASENT', 'Price', '2500', 'No', 'gift', 'boxFree', 'DeliveryInbox', 'Hiwe5266ስልክ', '251945355266', 'ፋሽን', 'ተራ', 'Fashion', 'Tera', 'አድራሻ', 'አዲስ', 'አበባ', 'ጦር', 'ሀይሎች', 'ድሪም', 'ታወር', '2ተኛ', 'ፎቅቢሮ', 'ቁጥር', '205']"
"['Nike', 'Airforce', 'Made', 'in', 'Vietnam', 'Size', '4142Price', '3900Free', 'DeliveryInbox', 'Hiwe5266ስልክ', '251945355266', 'ፋሽን', 'ተራ', 'Fashion', 'Tera', 'አድራሻ', 'አዲስ', 'አበባ', 'ጦር', 'ሀይሎች', 'ድሪም', 'ታወር', '2ተኛ', 'ፎቅቢሮ', 'ቁጥር', '205']"
"['Airforce', 'Made', 'in', 'Vietnam', 'Size', '4142Price', '3500Free', 'DeliveryInbox', 'Hiwe5266ስልክ', '251945355266', 'ፋሽን', 'ተራ', 'Fashion', 'Tera', 'አድራሻ', 'አዲስ', 'አበባ', 'ጦር', 'ሀይሎች', 'ድሪም', 'ታወር', '2ተኛ', 'ፎቅቢሮ', 'ቁጥር', '205']"
"['ROLEX', 'Price', '2500', 'No', 'gift', 'boxFree', 'DeliveryInbox', 'Hiwe5266ስልክ', '251945355266', 'ፋሽን', 'ተራ', 'Fashion', 'Tera', 'አድራሻ', 'አዲስ', 'አበባ', 'ጦር', 'ሀይሎች', 'ድሪም', 'ታወር', '2ተኛ', 'ፎቅቢሮ', 'ቁጥር', '205']"
"['Airforce', 'Made', 'in', 'Vietnam', 'Size', '404142Price', '3900Free', 'DeliveryInbox', 'Hiwe5266ስልክ', '251945355266', 'ፋሽን', 'ተራ', 'Fashion', 'Tera', 'አድራሻ', 'አዲስ', 'አበባ', 'ጦር', 'ሀይሎች', 'ድሪም', 'ታወር', '2ተኛ', 'ፎቅቢሮ', 'ቁጥር', '205']"
"['Nike', 'SBMade', 'in', 'Vietnam', 'Size', '404142Price', '2950Free', 'DeliveryInbox', 'Hiwe5266ስልክ', '251945355266', 'ፋሽን', 'ተራ', 'Fashion', 'Tera', 'አድራሻ', 'አዲስ', 'አበባ', 'ጦር', 'ሀይሎች', 'ድሪም', 'ታወር', '2ተኛ', 'ፎቅቢሮ', 'ቁጥር', '205']"
"['LOUIS', 'VUITTON', 'Made', 'in', 'Vietnam', 'Size', '414243Price', '3500Free', 'DeliveryInbox', 'Hiwe5266ስልክ', '251945355266', 'ፋሽን', 'ተራ', 'Fashion', 'Tera', 'አድራሻ', 'አዲስ', 'አበባ', 'ጦር', 'ሀይሎች', 'ድሪም', 'ታወር', '2ተኛ', 'ፎቅቢሮ', 'ቁጥር', '205']"
"['Nike', 'Air', 'Formula', '23Made', 'in', 'Vietnam', 'Size', '4243Price', '3400Free', 'DeliveryInbox', 'Hiwe5266ስልክ', '251945355266', 'ፋሽን', 'ተራ', 'Fashion', 'Tera', 'አድራሻ', 'አዲስ', 'አበባ', 'ጦር', 'ሀይሎች', 'ድሪም', 'ታወር', '2ተኛ', 'ፎቅቢሮ', 'ቁጥር', '205']"
"['Nike', 'Dunk', 'vs', 'Af1Made', 'in', 'Vietnam', 'Size', '4043Price', '4500Free', 'DeliveryInbox', 'Hiwe5266ስልክ', '251945355266', 'ፋሽን', 'ተራ', 'Fashion', 'Tera', 'አድራሻ', 'አዲስ', 'አበባ', 'ጦር', 'ሀይሎች', 'ድሪም', 'ታወር', '2ተኛ', 'ፎቅቢሮ', 'ቁጥር', '205']"
"['Rolex', 'Men', 'Watch', 'Price', '2200', 'No', 'gift', 'boxFree', 'DeliveryInbox', 'Hiwe5266ስልክ', '251945355266', 'ፋሽን', 'ተራ', 'Fashion', 'Tera', 'አድራሻ', 'አዲስ', 'አበባ', 'ጦር', 'ሀይሎች', 'ድሪም', 'ታወር', '2ተኛ', 'ፎቅቢሮ', 'ቁጥር', '205']"
"['CYBER', 'Men', 'Watch', 'Price', '2500', 'No', 'gift', 'boxFree', 'DeliveryInbox', 'Hiwe5266ስልክ', '251945355266', 'ፋሽን', 'ተራ', 'Fashion', 'Tera', 'አድራሻ', 'አዲስ', 'አበባ', 'ጦር', 'ሀይሎች', 'ድሪም', 'ታወር', '2ተኛ', 'ፎቅቢሮ', 'ቁጥር', '205']"
"['Fashion', 'Shose', 'Size', '4041Price', '3200Free', 'DeliveryInbox', 'Hiwe5266ስልክ', '251945355266', 'ፋሽን', 'ተራ', 'Fashion', 'Tera', 'አድራሻ', 'አዲስ', 'አበባ', 'ጦር', 'ሀይሎች', 'ድሪም', 'ታወር', '2ተኛ', 'ፎቅቢሮ', 'ቁጥር', '205']"
"['Speed', 'Couple', 'watch', 'Prices', '3500Free', 'DeliveryInbox', 'Hiwe5266ስልክ', '251945355266', 'ፋሽን', 'ተራ', 'Fashion', 'Tera', 'አድራሻ', 'አዲስ', 'አበባ', 'ጦር', 'ሀይሎች', 'ድሪም', 'ታወር', '2ተኛ', 'ፎቅቢሮ', 'ቁጥር', '205']"
"['Fashion', 'Shose', 'Size', '4243Price', '2900Free', 'DeliveryInbox', 'Hiwe5266ስልክ', '251945355266', 'ፋሽን', 'ተራ', 'Fashion', 'Tera', 'አድራሻ', 'አዲስ', 'አበባ', 'ጦር', 'ሀይሎች', 'ድሪም', 'ታወር', '2ተኛ', 'ፎቅቢሮ', 'ቁጥር', '205']"
"['Rolex', 'Couple', 'watch', 'Prices', '3900Free', 'DeliveryInbox', 'Hiwe5266ስልክ', '251945355266', 'ፋሽን', 'ተራ', 'Fashion', 'Tera', 'አድራሻ', 'አዲስ', 'አበባ', 'ጦር', 'ሀይሎች', 'ድሪም', 'ታወር', '2ተኛ', 'ፎቅቢሮ', 'ቁጥር', '205']"
"['BalenciagaMade', 'in', 'Vietnam', 'Size', '3637383940Price', '2900Free', 'DeliveryInbox', 'Hiwe5266ስልክ', '251945355266', 'ፋሽን', 'ተራ', 'Fashion', 'Tera', 'አድራሻ', 'አዲስ', 'አበባ', 'ጦር', 'ሀይሎች', 'ድሪም', 'ታወር', '2ተኛ', 'ፎቅቢሮ', 'ቁጥር', '205']"
